ID;WAGE;OCCUPATION;EDUCATION;EXPERIENCE;AGE;SEX;MARR;RACE;SECTOR;SOUTH;UNION
1;5,1;6;8;21;35;1;1;2;1;0;0
2;4,95;6;9;42;57;1;1;3;1;0;0
3;6,67;6;12;1;19;0;0;3;1;0;0
4;4;6;12;4;22;0;0;3;0;0;0
5;7,5;6;12;17;35;0;1;3;0;0;0
6;13,07;6;13;9;28;0;0;3;0;0;1
7;4,45;6;10;27;43;0;0;3;0;1;0
8;19,47;6;12;9;27;0;0;3;0;0;0
9;13,28;6;16;11;33;0;1;3;1;0;0
10;8,75;6;12;9;27;0;0;3;0;0;0
11;11,35;6;12;17;35;0;1;3;0;0;1
12;11,5;6;12;19;37;0;0;3;1;0;1
13;6,5;6;8;27;41;0;1;3;0;1;0
14;6,25;6;9;30;45;0;0;3;0;1;1
15;19,98;6;9;29;44;0;1;3;0;1;0
16;7,3;6;12;37;55;0;1;3;2;0;0
17;8;6;7;44;57;0;1;3;0;1;0
18;22,2;6;12;26;44;0;1;3;1;0;1
19;3,65;6;11;16;33;0;0;3;0;0;0
20;20,55;6;12;33;51;0;1;3;0;0;0
21;5,71;6;12;16;34;1;1;3;1;0;1
22;7;6;7;42;55;0;1;1;1;0;1
23;3,75;6;12;9;27;0;0;3;0;0;0
24;4,5;6;11;14;31;0;1;1;0;1;0
25;9,56;6;12;23;41;0;1;3;0;0;0
26;5,75;6;6;45;57;0;1;3;1;1;0
27;9,36;6;12;8;26;0;1;3;1;0;0
28;6,5;6;10;30;46;0;1;3;0;0;0
29;3,35;6;12;8;26;1;1;3;1;0;0
30;4,75;6;12;8;26;0;1;3;0;0;0
31;8,9;6;14;13;33;0;0;3;0;0;0
32;4;6;12;46;64;1;0;3;0;1;0
33;4,7;6;8;19;33;0;1;3;0;0;0
34;5;6;17;1;24;1;0;3;0;1;0
35;9,25;6;12;19;37;0;0;3;1;0;0
36;10,67;6;12;36;54;0;0;1;0;0;0
37;7,61;6;12;20;38;0;1;1;2;1;0
38;10;6;12;35;53;0;1;1;2;0;1
39;7,5;6;12;3;21;0;0;3;0;0;0
40;12,2;6;14;10;30;0;1;3;1;1;0
41;3,35;6;12;0;18;0;0;3;0;0;0
42;11;6;14;14;34;0;1;3;1;1;1
43;12;6;12;14;32;0;1;3;1;0;0
44;4,85;6;9;16;31;1;1;3;1;0;0
45;4,3;6;13;8;27;0;0;3;2;1;0
46;6;6;7;15;28;1;1;3;1;1;0
47;15;6;16;12;34;0;1;3;1;0;0
48;4,85;6;10;13;29;0;0;3;0;1;0
49;9;6;8;33;47;0;1;3;0;0;1
50;6,36;6;12;9;27;0;1;3;1;0;0
51;9,15;6;12;7;25;0;1;3;0;0;0
52;11;6;16;13;35;0;1;3;1;0;1
53;4,5;6;12;7;25;1;1;3;1;0;0
54;4,8;6;12;16;34;1;1;3;1;0;0
55;4;6;13;0;19;0;0;3;0;0;0
56;5,5;6;12;11;29;1;0;3;1;0;0
57;8,4;6;13;17;36;0;0;3;1;0;0
58;6,75;6;10;13;29;0;1;3;1;0;0
59;10;6;12;22;40;0;0;1;1;0;1
60;5;6;12;28;46;1;1;3;1;0;0
61;6,5;6;11;17;34;0;0;3;0;0;0
62;10,75;6;12;24;42;0;1;3;2;0;1
63;7;6;3;55;64;0;1;2;1;1;0
64;11,43;6;12;3;21;0;0;3;2;1;0
65;4;6;12;6;24;0;0;1;1;0;1
66;9;6;10;27;43;0;1;3;2;0;0
67;13;6;12;19;37;0;1;1;1;1;1
68;12,22;6;12;19;37;0;1;3;2;0;1
69;6,28;6;12;38;56;1;1;3;1;0;0
70;6,75;6;10;41;57;0;1;1;1;1;1
71;3,35;6;11;3;20;0;0;1;1;1;0
72;16;6;14;20;40;0;1;3;0;0;1
73;5,25;6;10;15;31;0;1;3;0;0;0
74;3,5;6;8;8;22;0;1;2;1;1;0
75;4,22;6;8;39;53;1;1;3;1;1;0
76;3;6;6;43;55;1;1;2;1;0;1
77;4;6;11;25;42;1;1;3;1;1;1
78;10;6;12;11;29;0;1;3;0;0;1
79;5;6;12;12;30;0;1;1;0;0;0
80;16;6;12;35;53;0;1;3;1;1;1
81;13,98;6;14;14;34;0;0;3;0;0;0
82;13,26;6;12;16;34;0;1;3;0;0;1
83;6,1;6;10;44;60;1;0;3;1;0;1
84;3,75;6;16;13;35;1;0;3;0;1;0
85;9;6;13;8;27;0;0;1;1;0;1
86;9,45;6;12;13;31;0;0;3;1;0;0
87;5,5;6;11;18;35;0;1;3;0;0;1
88;8,93;6;12;18;36;1;1;3;0;0;0
89;6,25;6;12;6;24;1;0;3;0;1;0
90;9,75;6;11;37;54;0;1;3;1;1;1
91;6,73;6;12;2;20;0;1;3;1;1;0
92;7,78;6;12;23;41;0;1;3;1;0;0
93;2,85;6;12;1;19;0;0;3;0;0;0
94;3,35;6;12;10;28;1;1;1;1;1;0
95;19,98;6;12;23;41;0;1;3;1;0;0
96;8,5;6;12;8;26;0;1;1;0;0;1
97;9,75;6;15;9;30;1;1;3;1;0;0
98;15;6;12;33;51;0;1;3;2;0;1
99;8;6;12;19;37;1;1;3;1;0;0
100;11,25;6;13;14;33;0;1;3;0;0;0
101;14;6;11;13;30;0;1;3;0;0;1
102;10;6;10;12;28;0;1;3;2;0;0
103;6,5;6;12;8;26;0;0;3;0;0;0
104;9,83;6;12;23;41;0;1;3;1;0;0
105;18,5;6;14;13;33;1;0;3;1;0;0
106;12,5;6;12;9;27;0;1;3;0;1;0
107;26;6;14;21;41;0;1;3;0;0;1
108;14;6;5;44;55;0;1;3;2;1;0
109;10,5;6;12;4;22;0;1;3;0;0;1
110;11;6;8;42;56;0;1;3;1;0;0
111;12,47;6;13;10;29;0;1;3;0;0;1
112;12,5;6;12;11;29;0;0;3;2;0;0
113;15;6;12;40;58;0;1;3;2;0;1
114;6;6;12;8;26;0;0;3;2;0;0
115;9,5;6;11;29;46;0;1;3;2;1;0
116;5;6;16;3;25;0;0;3;0;0;1
117;3,75;6;11;11;28;0;0;3;2;0;0
118;12,57;6;12;12;30;0;1;3;0;0;1
119;6,88;6;8;22;36;1;1;2;0;0;0
120;5,5;6;12;12;30;0;1;3;0;0;0
121;7;6;12;7;25;0;1;3;0;0;1
122;4,5;6;12;15;33;1;0;3;1;0;0
123;6,5;6;12;28;46;0;1;3;0;0;0
124;12;6;12;20;38;0;1;3;1;1;1
125;5;6;12;6;24;0;0;3;2;1;0
126;6,5;6;12;5;23;0;0;3;1;1;0
127;6,8;6;9;30;45;1;1;3;1;1;0
128;8,75;6;13;18;37;0;1;3;0;0;0
129;3,75;6;12;6;24;1;1;1;1;1;0
130;4,5;6;12;16;34;0;0;2;0;1;0
131;6;6;12;1;19;0;0;2;0;1;1
132;5,5;6;12;3;21;0;0;3;1;0;0
133;13;6;12;8;26;0;1;3;0;0;0
134;5,65;6;14;2;22;0;0;3;1;0;0
135;4,8;6;9;16;31;0;0;1;1;0;0
136;7;6;10;9;25;0;1;3;2;1;0
137;5,25;6;12;2;20;0;0;3;0;0;0
138;3,35;6;7;43;56;0;1;3;1;1;0
139;8,5;6;9;38;53;0;1;3;1;0;0
140;6;6;12;9;27;0;1;3;0;0;0
141;6,75;6;12;12;30;0;1;3;0;1;0
142;8,89;6;12;18;36;0;1;3;1;0;0
143;14,21;6;11;15;32;0;0;3;1;0;1
144;10,78;6;11;28;45;0;1;1;2;1;1
145;8,9;6;10;27;43;0;1;3;2;1;1
146;7,5;6;12;38;56;0;1;3;0;1;0
147;4,5;6;12;3;21;1;0;3;1;0;0
148;11,25;6;12;41;59;0;1;3;0;0;1
149;13,45;6;12;16;34;0;1;3;0;1;1
150;6;6;13;7;26;0;1;3;1;1;0
151;4,62;6;6;33;45;1;0;1;1;1;0
152;10,58;6;14;25;45;0;1;3;1;0;0
153;5;6;12;5;23;0;1;3;0;1;0
154;8,2;6;14;17;37;0;0;1;0;1;0
155;6,25;6;12;1;19;0;0;3;0;1;0
156;8,5;6;12;13;31;0;1;3;1;0;0
157;24,98;1;16;18;40;0;1;3;0;0;0
158;16,65;1;14;21;41;0;1;3;0;1;0
159;6,25;1;14;2;22;0;0;3;0;0;0
160;4,55;1;12;4;22;1;0;2;0;1;0
161;11,25;1;12;30;48;1;1;2;0;1;0
162;21,25;1;13;32;51;0;0;3;0;0;0
163;12,65;1;17;13;36;1;1;3;0;0;0
164;7,5;1;12;17;35;0;0;3;0;0;0
165;10,25;1;14;26;46;1;1;3;0;0;0
166;3,35;1;16;9;31;0;0;3;0;0;0
167;13,45;1;16;8;30;0;0;1;0;0;0
168;4,84;1;15;1;22;0;1;3;0;0;1
169;26,29;1;17;32;55;0;1;3;0;1;0
170;6,58;1;12;24;42;1;1;3;0;0;0
171;44,5;1;14;1;21;1;0;3;0;0;0
172;15;1;12;42;60;0;1;3;1;0;0
173;11,25;1;16;3;25;1;0;1;1;0;0
174;7;1;12;32;50;1;1;3;0;0;0
175;10;1;14;22;42;0;0;1;0;0;0
176;14,53;1;16;18;40;0;1;3;0;0;0
177;20;1;18;19;43;1;1;3;0;0;0
178;22,5;1;15;12;33;0;1;3;0;0;0
179;3,64;1;12;42;60;1;1;3;0;0;0
180;10,62;1;12;34;52;0;1;3;0;1;0
181;24,98;1;18;29;53;0;1;3;0;0;0
182;6;1;16;8;30;0;0;3;0;1;0
183;19;1;18;13;37;0;0;3;1;0;0
184;13,2;1;16;10;32;0;0;3;0;0;0
185;22,5;1;16;22;44;0;1;3;0;0;0
186;15;1;16;10;32;0;1;3;0;1;0
187;6,88;1;17;15;38;1;1;3;0;0;0
188;11,84;1;12;26;44;0;1;3;0;0;0
189;16,14;1;14;16;36;0;0;3;0;0;0
190;13,95;1;18;14;38;1;1;3;0;0;0
191;13,16;1;12;38;56;1;1;3;0;0;0
192;5,3;1;12;14;32;0;1;1;0;1;0
193;4,5;1;12;7;25;1;1;3;0;0;0
194;10;1;18;13;37;1;0;3;0;1;0
195;10;1;10;20;36;0;1;3;0;0;0
196;10;1;16;7;29;0;1;2;0;0;1
197;9,37;1;16;26;48;1;1;3;0;0;0
198;5,8;1;16;14;36;0;1;3;0;0;0
199;17,86;1;13;36;55;0;0;3;0;0;0
200;1;1;12;24;42;0;1;3;0;0;0
201;8,8;1;14;41;61;0;1;3;0;1;0
202;9;1;16;7;29;0;1;1;0;0;0
203;18,16;1;17;14;37;0;0;3;0;1;0
204;7,81;1;12;1;19;1;0;3;0;1;0
205;10,62;1;16;6;28;1;1;3;1;0;0
206;4,5;1;12;3;21;1;1;3;0;0;0
207;17,25;1;15;31;52;0;1;3;0;0;0
208;10,5;1;13;14;33;1;1;3;1;0;0
209;9,22;1;14;13;33;1;1;3;0;0;0
210;15;1;16;26;48;0;1;1;1;0;1
211;22,5;1;18;14;38;0;1;3;0;0;0
212;4,55;2;13;33;52;1;1;3;0;0;0
213;9;2;12;16;34;0;1;3;0;0;0
214;13,33;2;18;10;34;0;1;3;0;0;0
215;15;2;14;22;42;0;0;3;0;0;0
216;7,5;2;14;2;22;0;0;3;0;0;0
217;4,25;2;12;29;47;1;1;3;0;1;0
218;12,5;2;12;43;61;0;1;3;1;0;0
219;5,13;2;12;5;23;1;1;3;0;0;0
220;3,35;2;16;14;36;1;1;1;0;1;0
221;11,11;2;12;28;46;0;1;3;0;1;0
222;3,84;2;11;25;42;1;1;1;0;1;0
223;6,4;2;12;45;63;1;1;3;0;0;0
224;5,56;2;14;5;25;0;0;3;0;1;0
225;10;2;12;20;38;0;1;3;1;1;0
226;5,65;2;16;6;28;1;1;3;0;0;0
227;11,5;2;16;16;38;0;1;3;0;0;0
228;3,5;2;11;33;50;1;1;3;0;0;0
229;3,35;2;13;2;21;1;1;3;0;1;0
230;4,75;2;12;10;28;1;0;3;0;1;0
231;19,98;2;14;44;64;0;1;3;0;1;0
232;3,5;2;14;6;26;1;1;3;0;1;0
233;4;2;12;15;33;1;0;3;0;0;0
234;7;2;12;5;23;0;1;3;0;0;0
235;6,25;2;13;4;23;1;1;3;1;0;0
236;4,5;2;14;14;34;0;1;3;0;0;0
237;14,29;2;14;32;52;1;1;3;0;0;0
238;5;2;12;14;32;1;1;3;0;0;0
239;13,75;2;14;21;41;0;1;3;0;0;0
240;13,71;2;12;43;61;0;1;3;0;0;1
241;7,5;2;12;27;45;1;1;1;0;1;0
242;3,8;2;12;4;22;1;0;3;0;0;0
243;5;2;14;0;20;0;0;2;0;0;0
244;9,42;2;12;32;50;0;1;3;0;1;0
245;5,5;2;12;20;38;0;1;3;0;0;0
246;3,75;2;15;4;25;0;0;3;0;1;0
247;3,5;2;12;34;52;0;1;3;0;0;0
248;5,8;2;13;5;24;0;0;3;0;0;0
249;12;2;17;13;36;0;1;3;1;0;0
250;5;3;14;17;37;1;1;2;0;0;0
251;8,75;3;13;10;29;1;1;3;0;1;0
252;10;3;16;7;29;1;1;3;0;0;0
253;8,5;3;12;25;43;1;0;3;0;0;0
254;8,63;3;12;18;36;1;1;1;0;0;0
255;9;3;16;27;49;1;1;3;1;0;0
256;5,5;3;16;2;24;1;0;3;0;0;0
257;11,11;3;13;13;32;0;1;3;0;0;0
258;10;3;14;24;44;1;0;3;0;0;0
259;5,2;3;18;13;37;1;1;2;0;1;0
260;8;3;14;15;35;1;0;3;0;0;1
261;3,56;3;12;12;30;1;0;2;0;1;0
262;5,2;3;12;24;42;1;1;3;0;0;0
263;11,67;3;12;43;61;1;1;3;2;0;0
264;11,32;3;12;13;31;1;1;3;1;0;0
265;7,5;3;12;16;34;1;1;3;0;1;0
266;5,5;3;11;24;41;1;1;3;0;0;0
267;5;3;16;4;26;1;1;3;0;1;0
268;7,75;3;12;24;42;1;1;3;0;0;0
269;5,25;3;12;45;63;1;1;3;0;0;0
270;9;3;12;20;38;0;1;3;0;0;1
271;9,65;3;12;38;56;1;1;3;0;0;0
272;5,21;3;18;10;34;0;1;3;0;1;0
273;7;3;11;16;33;1;1;1;0;0;0
274;12,16;3;12;32;50;1;1;1;0;1;0
275;5,25;3;16;2;24;1;0;3;0;1;0
276;10,32;3;13;28;47;1;0;3;0;1;0
277;3,35;3;16;3;25;0;0;1;0;0;0
278;7,7;3;13;8;27;1;0;3;0;0;1
279;9,17;3;12;44;62;1;1;3;1;0;0
280;8,43;3;12;12;30;0;1;3;0;1;0
281;4;3;12;8;26;0;1;1;0;1;0
282;4,13;3;12;4;22;1;1;3;0;0;0
283;3;3;12;28;46;1;1;3;0;1;0
284;4,25;3;13;0;19;1;0;3;0;1;0
285;7,53;3;14;1;21;0;0;3;0;1;0
286;10,53;3;14;12;32;1;1;3;1;0;0
287;5;3;12;39;57;1;1;3;0;0;0
288;15,03;3;12;24;42;1;1;3;0;0;0
289;11,25;3;17;32;55;1;1;1;0;0;0
290;6,25;3;16;4;26;0;0;1;0;0;0
291;3,5;3;12;25;43;1;0;1;0;0;0
292;6,85;3;12;8;26;0;0;1;0;0;0
293;12,5;3;13;16;35;1;1;3;0;0;0
294;12;3;12;5;23;0;0;3;0;1;0
295;6;3;13;31;50;0;0;3;0;0;0
296;9,5;3;12;25;43;1;0;3;0;0;0
297;4,1;3;12;15;33;1;1;3;0;0;0
298;10,43;3;14;15;35;1;1;3;0;1;0
299;5;3;12;0;18;1;0;3;0;0;0
300;7,69;3;12;19;37;0;1;3;0;0;0
301;5,5;3;12;21;39;1;0;1;0;0;0
302;6,4;3;12;6;24;1;0;3;0;0;0
303;12,5;3;12;14;32;1;1;3;0;0;1
304;6,25;3;13;30;49;1;1;3;0;0;0
305;8;3;12;8;26;1;0;3;0;0;0
306;9,6;3;9;33;48;0;0;3;0;0;1
307;9,1;3;13;16;35;0;0;2;0;0;0
308;7,5;3;12;20;38;1;0;3;0;1;0
309;5;3;13;6;25;1;1;3;0;1;0
310;7;3;12;10;28;1;1;3;0;0;1
311;3,55;3;13;1;20;1;0;3;0;1;0
312;8,5;3;12;2;20;0;0;1;0;1;0
313;4,5;3;13;0;19;1;0;3;0;1;0
314;7,88;3;16;17;39;0;1;1;0;0;0
315;5,25;3;12;8;26;1;0;3;0;0;0
316;5;3;12;4;22;0;0;3;0;1;0
317;9,33;3;12;15;33;1;0;3;0;0;0
318;10,5;3;12;29;47;1;1;3;0;0;0
319;7,5;3;12;23;41;1;1;1;0;1;0
320;9,5;3;12;39;57;1;1;3;0;1;0
321;9,6;3;12;14;32;1;1;3;0;1;0
322;5,87;3;17;6;29;1;0;1;0;1;0
323;11,02;3;14;12;32;0;1;3;0;1;1
324;5;3;12;26;44;1;0;3;0;1;0
325;5,62;3;14;32;52;1;1;3;0;0;0
326;12,5;3;15;6;27;1;1;3;0;0;0
327;10,81;3;12;40;58;1;1;3;0;0;0
328;5,4;3;12;18;36;1;1;3;1;0;0
329;7;3;11;12;29;1;0;3;0;0;0
330;4,59;3;12;36;54;1;1;3;2;1;0
331;6;3;12;19;37;1;1;3;0;0;0
332;11,71;3;16;42;64;1;0;3;1;0;0
333;5,62;3;13;2;21;1;1;2;0;0;0
334;5,5;3;12;33;51;1;1;3;0;0;0
335;4,85;3;12;14;32;1;1;3;0;1;0
336;6,75;3;12;22;40;0;0;3;0;0;0
337;4,25;3;12;20;38;1;1;3;0;0;0
338;5,75;3;12;15;33;1;1;3;0;0;0
339;3,5;3;12;35;53;0;1;3;0;0;0
340;3,35;3;12;7;25;1;1;3;0;0;0
341;10,62;3;12;45;63;1;0;3;1;0;0
342;8;3;12;9;27;1;0;3;0;0;0
343;4,75;3;12;2;20;1;1;3;0;1;0
344;8,5;3;17;3;26;0;0;3;0;1;0
345;8,85;3;14;19;39;1;1;1;0;0;1
346;8;3;12;14;32;1;1;3;0;1;0
347;6;4;4;54;64;0;1;3;0;0;0
348;7,14;4;14;17;37;0;1;3;0;0;0
349;3,4;4;8;29;43;1;1;1;0;0;0
350;6;4;15;26;47;1;0;3;0;1;0
351;3,75;4;2;16;24;0;0;2;0;0;0
352;8,89;4;8;29;43;1;0;1;0;0;0
353;4,35;4;11;20;37;1;1;3;0;0;0
354;13,1;4;10;38;54;1;1;1;0;1;0
355;4,35;4;8;37;51;1;1;1;0;1;0
356;3,5;4;9;48;63;0;0;3;0;0;0
357;3,8;4;12;16;34;1;0;3;0;0;0
358;5,26;4;8;38;52;1;1;3;0;0;0
359;3,35;4;14;0;20;0;0;1;0;0;0
360;16,26;4;12;14;32;0;0;1;0;0;1
361;4,25;4;12;2;20;1;1;3;0;0;0
362;4,5;4;16;21;43;0;1;3;0;0;0
363;8;4;13;15;34;1;1;3;0;0;0
364;4;4;16;20;42;1;0;3;0;0;0
365;7,96;4;14;12;32;1;1;3;0;0;0
366;4;4;12;7;25;0;0;2;0;1;0
367;4,15;4;11;4;21;0;1;3;0;0;0
368;5,95;4;13;9;28;0;1;3;0;1;0
369;3,6;4;12;43;61;1;1;2;0;1;0
370;8,75;4;10;19;35;0;0;3;0;1;0
371;3,4;4;8;49;63;1;0;3;0;0;0
372;4,28;4;12;38;56;1;1;3;0;0;0
373;5,35;4;12;13;31;1;1;3;0;0;0
374;5;4;12;14;32;1;1;3;0;0;0
375;7,65;4;12;20;38;0;0;3;0;0;0
376;6,94;4;12;7;25;1;0;3;0;0;0
377;7,5;4;12;9;27;1;1;3;1;0;1
378;3,6;4;12;6;24;1;0;3;0;0;0
379;1,75;4;12;5;23;1;1;3;0;1;0
380;3,45;4;13;1;20;1;0;1;0;1;0
381;9,63;4;14;22;42;0;1;3;0;0;1
382;8,49;4;12;24;42;1;1;3;0;0;0
383;8,99;4;12;15;33;1;0;3;0;0;1
384;3,65;4;11;8;25;1;1;3;0;1;0
385;3,5;4;11;17;34;1;1;3;0;1;0
386;3,43;4;12;2;20;0;0;1;0;1;0
387;5,5;4;12;20;38;0;1;3;0;1;0
388;6,93;4;12;26;44;0;1;3;0;0;1
389;3,51;4;10;37;53;1;1;1;0;1;0
390;3,75;4;12;41;59;1;0;3;0;0;0
391;4,17;4;12;27;45;1;1;3;0;0;0
392;9,57;4;12;5;23;1;1;3;0;0;1
393;14,67;4;14;16;36;0;1;1;0;0;0
394;12,5;4;14;19;39;1;1;3;0;0;0
395;5,5;4;12;10;28;0;1;3;0;0;0
396;5,15;4;13;1;20;0;0;3;0;1;1
397;8;4;12;43;61;1;1;1;0;0;1
398;5,83;4;13;3;22;0;0;1;0;0;0
399;3,35;4;12;0;18;1;0;3;0;0;0
400;7;4;12;26;44;1;1;3;0;1;0
401;10;4;10;25;41;1;1;3;0;0;1
402;8;4;12;15;33;1;1;3;0;0;0
403;6,88;4;14;10;30;1;0;3;0;1;0
404;5,55;4;11;45;62;1;0;3;0;0;1
405;7,5;4;11;3;20;0;0;1;0;0;0
406;8,93;4;8;47;61;0;1;2;0;0;1
407;9;4;16;6;28;1;1;1;0;0;0
408;3,5;4;10;33;49;1;0;3;0;1;0
409;5,77;4;16;3;25;0;0;3;1;0;0
410;25;4;14;4;24;0;0;2;0;0;1
411;6,85;4;14;34;54;0;1;1;0;0;1
412;6,5;4;11;39;56;0;1;3;0;1;0
413;3,75;4;12;17;35;1;1;3;0;1;0
414;3,5;4;9;47;62;0;1;3;0;0;1
415;4,5;4;11;2;19;0;0;3;0;0;0
416;2,01;4;13;0;19;0;0;3;0;1;0
417;4,17;4;14;24;44;1;0;3;0;0;0
418;13;4;12;25;43;0;1;1;0;0;1
419;3,98;4;14;6;26;1;0;3;0;0;0
420;7,5;4;12;10;28;1;0;3;0;0;0
421;13,12;4;12;33;51;1;1;1;0;0;0
422;4;4;12;12;30;0;0;3;0;0;0
423;3,95;4;12;9;27;1;1;3;0;1;0
424;13;4;11;18;35;0;1;3;0;1;1
425;9;4;12;10;28;0;1;3;0;0;0
426;4,55;4;8;45;59;1;0;3;0;1;0
427;9,5;4;9;46;61;1;1;3;0;0;1
428;4,5;4;7;14;27;0;1;2;0;1;0
429;8,75;4;11;36;53;1;0;3;0;0;0
430;10;5;13;34;53;0;1;3;2;0;1
431;18;5;18;15;39;0;1;3;0;0;0
432;24,98;5;17;31;54;0;1;3;1;0;0
433;12,05;5;16;6;28;1;0;3;1;0;0
434;22;5;14;15;35;0;1;3;0;1;0
435;8,75;5;12;30;48;0;1;3;0;0;0
436;22,2;5;18;8;32;0;1;3;0;0;0
437;17,25;5;18;5;29;0;1;3;1;0;0
438;6;5;17;3;26;1;0;3;0;0;1
439;8,06;5;13;17;36;0;1;3;0;1;0
440;9,24;5;16;5;27;0;1;1;1;0;1
441;12;5;14;10;30;1;1;3;0;0;0
442;10,61;5;15;33;54;1;0;3;0;0;0
443;5,71;5;18;3;27;0;1;3;0;0;0
444;10;5;16;0;18;1;0;3;0;0;0
445;17,5;5;16;13;35;0;1;1;0;1;0
446;15;5;18;12;36;0;1;3;0;0;0
447;7,78;5;16;6;28;1;1;3;0;0;0
448;7,8;5;17;7;30;0;1;3;0;0;0
449;10;5;16;14;36;0;1;3;0;1;1
450;24,98;5;17;5;28;1;0;3;0;0;0
451;10,28;5;15;10;31;1;1;3;0;1;0
452;15;5;18;11;35;1;1;3;0;0;0
453;12;5;17;24;47;1;1;3;0;0;0
454;10,58;5;16;9;31;0;0;3;1;0;0
455;5,85;5;18;12;36;0;1;3;0;1;0
456;11,22;5;18;19;43;0;1;3;0;0;0
457;8,56;5;14;14;34;1;1;3;0;0;0
458;13,89;5;16;17;39;1;0;3;1;0;0
459;5,71;5;18;7;31;0;0;3;0;1;0
460;15,79;5;18;7;31;0;1;3;0;0;0
461;7,5;5;16;22;44;1;1;3;0;0;0
462;11,25;5;12;28;46;1;1;3;0;0;0
463;6,15;5;16;16;38;1;0;3;0;0;0
464;13,45;5;16;16;38;0;0;1;0;1;0
465;6,25;5;16;7;29;1;1;3;0;0;0
466;6,5;5;12;11;29;1;0;3;0;0;0
467;12;5;12;11;29;1;1;3;0;0;0
468;8,5;5;12;16;34;1;0;3;0;0;0
469;8;5;18;33;57;0;0;3;0;0;1
470;5,75;5;12;21;39;1;1;3;0;1;0
471;15,73;5;16;4;26;0;1;3;1;0;0
472;9,86;5;15;13;34;0;1;3;0;0;0
473;13,51;5;18;14;38;0;1;3;0;0;1
474;5,4;5;16;10;32;1;1;3;0;0;0
475;6,25;5;18;14;38;0;1;3;0;1;0
476;5,5;5;16;29;51;0;1;3;0;1;0
477;5;5;12;4;22;0;0;2;0;0;0
478;6,25;5;18;27;51;0;1;1;0;0;0
479;5,75;5;12;3;21;0;1;3;0;0;0
480;20,5;5;16;14;36;0;1;3;0;1;1
481;5;5;14;0;20;0;1;3;2;0;0
482;7;5;18;33;57;0;1;3;0;0;0
483;18;5;16;38;60;0;1;3;0;1;0
484;12;5;18;18;42;1;1;3;0;0;1
485;20,4;5;17;3;26;0;0;3;1;0;0
486;22,2;5;18;40;64;1;0;3;0;0;0
487;16,42;5;14;19;39;0;0;3;1;0;0
488;8,63;5;14;4;24;1;0;3;0;0;0
489;19,38;5;16;11;33;1;1;3;0;0;0
490;14;5;16;16;38;1;1;3;0;0;0
491;10;5;14;22;42;0;1;3;0;0;0
492;15,95;5;17;13;36;1;0;3;0;0;1
493;20;5;16;28;50;1;1;3;0;1;1
494;10;5;16;10;32;1;1;3;0;0;0
495;24,98;5;16;5;27;1;0;3;0;1;0
496;11,25;5;15;5;26;0;0;3;0;0;0
497;22,83;5;18;37;61;1;0;3;1;0;0
498;10,2;5;17;26;49;1;1;3;0;0;1
499;10;5;16;4;26;1;1;3;0;1;0
500;14;5;18;31;55;1;0;3;0;0;1
501;12,5;5;17;13;36;1;1;3;0;0;1
502;5,79;5;12;42;60;1;1;3;0;0;0
503;24,98;5;17;18;41;0;1;2;0;0;0
504;4,35;5;12;3;21;1;1;3;0;0;0
505;11,25;5;17;10;33;1;0;3;0;0;0
506;6,67;5;16;10;32;1;0;3;0;0;1
507;8;5;16;17;39;1;1;2;0;0;0
508;18,16;5;18;7;31;0;1;3;0;0;0
509;12;5;16;14;36;1;1;3;0;0;0
510;8,89;5;16;22;44;1;1;3;0;0;1
511;9,5;5;17;14;37;1;1;3;0;0;0
512;13,65;5;16;11;33;0;1;3;0;0;0
513;12;5;18;23;47;0;1;3;0;0;1
514;15;5;12;39;57;0;1;3;0;0;1
515;12,67;5;16;15;37;0;1;3;0;0;0
516;7,38;5;14;15;35;1;0;2;0;0;0
517;15,56;5;16;10;32;0;0;3;0;0;0
518;7,45;5;12;25;43;1;0;3;0;1;0
519;6,25;5;14;12;32;1;1;3;0;0;0
520;6,25;5;16;7;29;1;1;2;0;1;0
521;9,37;5;17;7;30;0;1;3;0;0;1
522;22,5;5;16;17;39;0;1;3;1;0;0
523;7,5;5;16;10;32;0;1;3;0;0;1
524;7;5;17;2;25;0;1;3;0;1;0
525;5,75;5;9;34;49;1;1;1;0;1;1
526;7,67;5;15;11;32;1;1;3;0;0;0
527;12,5;5;15;10;31;0;0;3;0;0;0
528;16;5;12;12;30;0;1;3;0;1;0
529;11,79;5;16;6;28;1;0;3;0;0;1
530;11,36;5;18;5;29;0;0;3;0;0;0
531;6,1;5;12;33;51;1;1;1;0;0;0
532;23,25;5;17;25;48;1;1;1;0;0;1
533;19,88;5;12;13;31;0;1;3;0;1;1
534;15,38;5;16;33;55;0;1;3;1;0;0
